,_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
54,87194ad0cffffff,65.0,2.0,2.0,0.0,25.0,18.0,0.0,7.0,21.0,0.0,8.0,47.0,121.0,24.0,24.0,94.0,2.0,2.0
55,87194ad0dffffff,90.0,5.0,2.0,0.0,54.0,96.0,9.0,56.0,31.0,25.0,40.0,243.0,561.0,47.0,19.0,194.0,18.0,32.0
56,87194ad0effffff,79.0,6.0,1.0,0.0,34.0,35.0,2.0,19.0,34.0,9.0,26.0,120.0,305.0,54.0,22.0,147.0,1.0,8.0
57,87194ad10ffffff,85.0,15.0,9.0,0.0,64.0,74.0,5.0,80.0,62.0,57.0,54.0,276.0,646.0,88.0,63.0,225.0,10.0,38.0
58,87194ad11ffffff,106.0,4.0,0.0,0.0,62.0,85.0,6.0,94.0,81.0,54.0,82.0,309.0,651.0,56.0,51.0,202.0,14.0,30.0
59,87194ad12ffffff,78.0,2.0,34.0,4.0,69.0,101.0,9.0,111.0,78.0,56.0,57.0,279.0,780.0,67.0,65.0,206.0,13.0,29.0
60,87194ad13ffffff,73.0,6.0,0.0,0.0,61.0,65.0,8.0,52.0,33.0,33.0,36.0,126.0,441.0,38.0,49.0,180.0,1.0,14.0
61,87194ad14ffffff,140.0,30.0,18.0,0.0,96.0,130.0,40.0,102.0,66.0,84.0,113.0,256.0,1039.0,103.0,202.0,231.0,49.0,195.0
62,87194ad15ffffff,106.0,6.0,0.0,0.0,79.0,98.0,9.0,67.0,64.0,38.0,49.0,193.0,633.0,79.0,83.0,222.0,10.0,50.0
63,87194ad16ffffff,135.0,16.0,11.0,0.0,86.0,207.0,96.0,244.0,59.0,92.0,125.0,921.0,1312.0,101.0,183.0,217.0,54.0,83.0
64,87194ad18ffffff,73.0,1.0,0.0,0.0,50.0,20.0,0.0,5.0,21.0,2.0,8.0,58.0,157.0,23.0,18.0,120.0,1.0,2.0
65,87194ad19ffffff,82.0,2.0,0.0,0.0,39.0,54.0,4.0,29.0,66.0,11.0,29.0,140.0,383.0,28.0,22.0,185.0,4.0,16.0
66,87194ad1affffff,75.0,3.0,0.0,0.0,46.0,63.0,3.0,21.0,57.0,10.0,35.0,155.0,458.0,29.0,10.0,152.0,1.0,11.0
67,87194ad1bffffff,83.0,1.0,0.0,0.0,43.0,79.0,10.0,24.0,58.0,11.0,16.0,159.0,366.0,32.0,13.0,156.0,6.0,17.0
68,87194ad1cffffff,70.0,4.0,0.0,0.0,51.0,59.0,4.0,23.0,36.0,14.0,26.0,123.0,322.0,56.0,30.0,145.0,3.0,13.0
69,87194ad1dffffff,94.0,6.0,3.0,0.0,40.0,56.0,7.0,42.0,33.0,26.0,45.0,115.0,309.0,40.0,74.0,177.0,5.0,11.0
70,87194ad1effffff,111.0,2.0,0.0,0.0,46.0,84.0,4.0,42.0,45.0,19.0,40.0,173.0,400.0,58.0,29.0,182.0,7.0,24.0
71,87194ad20ffffff,32.0,6.0,54.0,0.0,24.0,12.0,4.0,42.0,11.0,14.0,13.0,75.0,162.0,16.0,38.0,88.0,9.0,8.0
72,87194ad21ffffff,96.0,2.0,0.0,0.0,40.0,50.0,5.0,17.0,30.0,7.0,18.0,148.0,274.0,33.0,31.0,159.0,2.0,12.0
73,87194ad22ffffff,82.0,8.0,106.0,1.0,80.0,66.0,7.0,79.0,65.0,29.0,53.0,216.0,776.0,44.0,53.0,164.0,13.0,35.0
74,87194ad23ffffff,71.0,5.0,27.0,0.0,53.0,51.0,12.0,68.0,45.0,45.0,56.0,148.0,351.0,49.0,98.0,164.0,7.0,9.0
75,87194ad24ffffff,90.0,10.0,6.0,0.0,40.0,42.0,7.0,48.0,66.0,18.0,31.0,150.0,378.0,43.0,41.0,184.0,8.0,21.0
76,87194ad25ffffff,51.0,4.0,28.0,1.0,20.0,12.0,9.0,6.0,12.0,7.0,14.0,52.0,210.0,28.0,20.0,105.0,6.0,14.0
