_index,population
87194e6d3ffffff,24854.45822059817
87194e6d4ffffff,24449.7152083936
87194e6d5ffffff,22187.799758133042
87194e6d6ffffff,27123.973637630283
87194e6d8ffffff,18802.0727103223
87194e6d9ffffff,11881.705204869351
87194e6daffffff,15953.52102260718
87194e6dbffffff,12194.933374277058
87194e6dcffffff,18794.66849018145
87194e6ddffffff,13113.002326116803
87194e6deffffff,19152.219757449424
87194e6e0ffffff,5953.925505400571
87194e6e2ffffff,10754.266996894097
87194e6e3ffffff,2089.9460457522828
87194e6e4ffffff,8657.625979559907
87194e6e5ffffff,355.3340098516889
87194e6e6ffffff,10750.01879186821
87194e6f0ffffff,24649.148321736255
87194e6f1ffffff,8591.837556814671
87194e6f2ffffff,21483.93930159977
87194e6f3ffffff,15858.877912104372
87194e6f4ffffff,27573.153120889056
87194e6f5ffffff,11240.3687980802
87194e6f6ffffff,27970.66645848371
87195d344ffffff,1845.5939209231349
87195d345ffffff,1094.1887119913135
87195d360ffffff,12295.832315549094
87195d361ffffff,21155.330192122794
87195d362ffffff,12301.009241470487
87195d363ffffff,12675.875826732376
87195d364ffffff,12290.98047179033
87195d365ffffff,18950.272809206683
87195d366ffffff,12296.155628889037
87195d368ffffff,4668.624814265547
87195d369ffffff,1071.526824403823
87195d36affffff,0.0
87195d36cffffff,23964.534560688968
87195d36dffffff,15912.576433079972
87195d36effffff,21399.54206684115
87195d371ffffff,3549.580785483407
87195d375ffffff,4379.52481981319
87195da08ffffff,0.0
87195da09ffffff,15325.960787755379
87195da0bffffff,19330.297047813783
87195da0dffffff,385.06667411960717
87195da40ffffff,20776.916381478233
87195da41ffffff,41136.03346727832
87195da42ffffff,20844.728777104578
87195da43ffffff,26935.75579333103
87195da44ffffff,20768.683851535454
87195da45ffffff,33287.34589743969
87195da46ffffff,20777.43942624617
87195da48ffffff,44071.80228319247
87195da49ffffff,44048.109244768166
87195da4affffff,44336.67086314064
87195da4bffffff,45342.48042107177
87195da4cffffff,44632.945609296046
87195da4dffffff,46305.93125866626
87195da4effffff,44304.33683527888
87195da50ffffff,29235.827167655058
87195da51ffffff,32068.938269593615
87195da52ffffff,24687.51191132935
87195da53ffffff,35874.50777846829
87195da54ffffff,20901.159334425152
87195da55ffffff,21350.862866046056
87195da56ffffff,23825.711079748562
87195da58ffffff,36353.175805941806
87195da59ffffff,50221.082840066585
87195da5affffff,35799.072858495805
87195da5bffffff,34351.830073582816
87195da5cffffff,35641.770177871906
87195da5dffffff,36797.57634880293
87195da5effffff,36434.04298122758
87195da60ffffff,19981.512639242366
87195da61ffffff,36362.7131336727
87195da62ffffff,20760.448329845345
87195da63ffffff,31629.500967416217
