ORIGIN_CODE,DESTINATION_CODE,flows
87194ac00ffffff,87195da50ffffff,1.0
87194ac00ffffff,87195da51ffffff,1.0
87194ac00ffffff,87195da52ffffff,1.0
87194ac00ffffff,87195da53ffffff,1.0
87194ac00ffffff,87195da54ffffff,1.0
87194ac00ffffff,87195da55ffffff,1.0
87194ac00ffffff,87195da56ffffff,1.0
87194ac00ffffff,87195da58ffffff,3.0
87194ac00ffffff,87195da59ffffff,3.0
87194ac00ffffff,87195da5affffff,2.0
87194ac00ffffff,87195da5bffffff,3.0
87194ac00ffffff,87195da5cffffff,2.0
87194ac00ffffff,87195da5dffffff,3.0
87194ac00ffffff,87195da5effffff,2.0
87194ac00ffffff,87195da60ffffff,1.0
87194ac00ffffff,87195da61ffffff,2.0
87194ac00ffffff,87195da62ffffff,1.0
87194ac00ffffff,87195da63ffffff,1.0
87194ac00ffffff,87195da64ffffff,1.0
87194ac00ffffff,87195da65ffffff,1.0
87194ac00ffffff,87195da66ffffff,1.0
87194ac00ffffff,87195da68ffffff,3.0
87194ac00ffffff,87195da69ffffff,4.0
87194ac00ffffff,87195da6affffff,3.0
87194ac00ffffff,87195da6bffffff,4.0
87194ac00ffffff,87195da6cffffff,2.0
87194ac00ffffff,87195da6dffffff,3.0
87194ac00ffffff,87195da6effffff,2.0
87194ac00ffffff,87195da70ffffff,0.0
87194ac00ffffff,87195da71ffffff,1.0
87194ac00ffffff,87195da72ffffff,0.0
87194ac00ffffff,87195da73ffffff,1.0
87194ac00ffffff,87195da74ffffff,1.0
87194ac00ffffff,87195da75ffffff,1.0
87194ac00ffffff,87195da76ffffff,0.0
87194ac00ffffff,87195da89ffffff,0.0
87194ac00ffffff,87195da8dffffff,0.0
87194ac00ffffff,87195dac0ffffff,1.0
87194ac00ffffff,87195dac1ffffff,1.0
87194ac00ffffff,87195dac2ffffff,1.0
87194ac00ffffff,87195dac3ffffff,0.0
87194ac00ffffff,87195dac4ffffff,1.0
87194ac00ffffff,87195dac5ffffff,1.0
87194ac00ffffff,87195dac6ffffff,0.0
87194ac00ffffff,87195dac8ffffff,2.0
87194ac00ffffff,87195dac9ffffff,2.0
87194ac00ffffff,87195dacaffffff,2.0
87194ac00ffffff,87195dacbffffff,2.0
87194ac00ffffff,87195daccffffff,1.0
87194ac00ffffff,87195dacdffffff,2.0
87194ac00ffffff,87195daceffffff,1.0
87194ac00ffffff,87195dad0ffffff,0.0
87194ac00ffffff,87195dad1ffffff,0.0
87194ac00ffffff,87195dad4ffffff,0.0
87194ac00ffffff,87195dad5ffffff,0.0
87194ac00ffffff,87195dad8ffffff,1.0
87194ac00ffffff,87195dad9ffffff,1.0
87194ac00ffffff,87195dadaffffff,0.0
87194ac00ffffff,87195dadbffffff,1.0
87194ac00ffffff,87195dadcffffff,1.0
87194ac00ffffff,87195daddffffff,1.0
87194ac00ffffff,87195dadeffffff,1.0
87194ac00ffffff,87195dae0ffffff,1.0
87194ac00ffffff,87195dae1ffffff,1.0
87194ac00ffffff,87195dae2ffffff,0.0
87194ac00ffffff,87195dae3ffffff,1.0
87194ac00ffffff,87195dae4ffffff,0.0
87194ac00ffffff,87195dae5ffffff,1.0
87194ac00ffffff,87195dae6ffffff,0.0
87194ac00ffffff,87195dae8ffffff,1.0
87194ac00ffffff,87195dae9ffffff,2.0
87194ac00ffffff,87195daeaffffff,1.0
87194ac00ffffff,87195daebffffff,2.0
87194ac00ffffff,87195daecffffff,1.0
87194ac00ffffff,87195daedffffff,2.0
87194ac00ffffff,87195daeeffffff,1.0
87194ac00ffffff,87195daf0ffffff,0.0
87194ac00ffffff,87195daf1ffffff,1.0
87194ac00ffffff,87195daf2ffffff,0.0
87194ac00ffffff,87195daf3ffffff,0.0
87194ac00ffffff,87195daf5ffffff,0.0
87194ac00ffffff,87195db41ffffff,0.0
87194ac00ffffff,87195db43ffffff,0.0
87194ac00ffffff,87195db48ffffff,1.0
87194ac00ffffff,87195db49ffffff,1.0
87194ac00ffffff,87195db4affffff,0.0
87194ac00ffffff,87195db4bffffff,1.0
87194ac00ffffff,87195db4cffffff,0.0
87194ac00ffffff,87195db4dffffff,1.0
